t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
11.0,-0.373,0.141,-5.004,-0.004,0.045,2,14,0,0.150,0,0,0.099,-2.819,0.008,-5.024,-0.024,0.083,2,14,0,0.147,0,0,0.059,2.449,0.399,0,0,0.150,0.000,0.000,0.000,0.000
12.0,-0.462,0.131,-5.017,-0.017,0.056,2,14,0,0.145,0,0,0.027,-2.868,0.093,-4.995,0.005,0.061,2,14,0,0.143,0,0,0.085,2.406,0.480,0,0,0.145,0.000,0.000,0.000,0.000
13.0,-0.506,0.081,-5.035,-0.035,0.053,2,14,0,0.150,0,0,0.046,-2.979,0.146,-4.949,0.051,0.034,2,14,0,0.154,0,0,0.169,2.475,0.513,0,0,0.154,0.000,0.000,0.000,0.000
14.0,-0.540,0.084,-5.064,-0.064,0.016,2,14,0,0.170,0,0,0.077,-3.066,0.165,-5.005,-0.005,0.052,2,14,0,0.158,0,0,0.246,2.528,0.547,0,0,0.170,0.000,0.000,0.000,0.000
15.0,-0.568,0.131,-4.984,0.016,0.030,2,14,0,0.145,0,0,0.106,-2.981,0.076,-4.943,0.057,0.120,2,14,0,0.117,0,0,0.123,2.414,0.583,0,0,0.145,0.000,0.000,0.000,0.000
16.0,-0.578,0.090,-4.988,0.012,0.058,2,14,0,0.147,0,0,0.114,-2.865,0.003,-5.031,-0.031,0.131,2,14,0,0.145,0,0,0.013,2.289,0.585,0,0,0.147,0.000,0.000,0.000,0.000
17.0,-0.511,0.130,-4.970,0.030,0.090,2,14,0,0.146,0,0,0.054,-2.804,-0.078,-4.965,0.035,0.063,2,14,0,0.117,0,0,0.113,2.303,0.527,0,0,0.146,0.000,0.000,0.000,0.000
18.0,-0.398,0.138,-4.988,0.012,0.069,2,14,0,0.128,0,0,0.075,-2.797,-0.101,-4.926,0.074,0.022,2,14,0,0.122,0,0,0.137,2.412,0.421,0,0,0.128,0.000,0.000,0.000,0.000
19.0,-0.376,0.090,-4.966,0.034,0.031,2,14,0,0.123,0,0,0.090,-2.765,-0.044,-4.989,0.011,0.061,2,14,0,0.123,0,0,0.125,2.393,0.387,0,0,0.123,0.000,0.000,0.000,0.000
20.0,-0.349,0.049,-4.992,0.008,0.015,2,14,0,0.122,0,0,0.128,-2.765,-0.012,-5.014,-0.014,0.078,2,14,0,0.130,0,0,0.116,2.417,0.353,0,0,0.130,0.000,0.000,0.000,0.000
