t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
5.0000,3.0000,0.0000,-10.0000,0.0000,0.0455,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
5.0500,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
5.1000,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,5.1960
5.1500,3.0000,0.0000,-10.0000,0.0000,0.0458,-1.5000,2.5980,-10.0000,0.0000,0.0457,-1.5000,-2.5980,-10.0000,0.0000,0.0456,0.0000,0.0000,-5.0000,0.0000,5.1960
5.2000,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0440,0.0000,0.0000,-5.0000,0.0000,5.1960
5.2500,3.0000,0.0000,-10.0000,0.0000,0.0423,-1.5000,2.5980,-10.0000,0.0000,0.0424,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
5.3000,3.0000,0.0000,-10.0000,0.0000,0.0431,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,5.1960
5.3500,3.0000,0.0000,-10.0000,0.0000,0.0423,-1.5000,2.5980,-10.0000,0.0000,0.0435,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
5.4000,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0425,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
5.4500,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
5.5000,3.0000,0.0000,-10.0000,0.0000,0.0439,-1.5000,2.5980,-10.0000,0.0000,0.0445,-1.5000,-2.5980,-10.0000,0.0000,0.0419,0.0000,0.0000,-5.0000,0.0000,5.1960
5.5500,3.0000,0.0000,-10.0000,0.0000,0.0422,-1.5000,2.5980,-10.0000,0.0000,0.0422,-1.5000,-2.5980,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,5.1960
5.6000,3.0000,0.0000,-10.0000,0.0000,0.0436,-1.5000,2.5980,-10.0000,0.0000,0.0429,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
5.6500,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0449,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
5.7000,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0425,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
5.7500,3.0000,0.0000,-10.0000,0.0000,0.0430,-1.5000,2.5980,-10.0000,0.0000,0.0425,-1.5000,-2.5980,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,5.1960
5.8000,3.0000,0.0000,-10.0000,0.0000,0.0448,-1.5000,2.5980,-10.0000,0.0000,0.0430,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
5.8500,3.0000,0.0000,-10.0000,0.0000,0.0421,-1.5000,2.5980,-10.0000,0.0000,0.0427,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
5.9000,3.0000,0.0000,-10.0000,0.0000,0.0434,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
5.9500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0425,-1.5000,-2.5980,-10.0000,0.0000,0.0418,0.0000,0.0000,-5.0000,0.0000,5.1960
