t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,d5_x,d5_y,d5_z,d5_poserr,d5_solve_ms,d6_x,d6_y,d6_z,d6_poserr,d6_solve_ms,d7_x,d7_y,d7_z,d7_poserr,d7_solve_ms,d8_x,d8_y,d8_z,d8_poserr,d8_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
1.0000,0.0000,0.0000,-10.0000,0.0000,0.0741,0.0000,3.0000,-10.0000,0.0000,0.0779,0.0000,-3.0000,-10.0000,0.0000,0.0681,3.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0452,-3.0000,3.0000,-10.0000,0.0000,0.0452,3.0000,-3.0000,-10.0000,0.0000,0.0449,-3.0000,-3.0000,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0500,0.0000,0.0000,-10.0000,0.0000,0.0739,0.0000,3.0000,-10.0000,0.0000,0.0807,0.0000,-3.0000,-10.0000,0.0000,0.0687,3.0000,0.0000,-10.0000,0.0000,0.0453,-3.0000,0.0000,-10.0000,0.0000,0.0454,3.0000,3.0000,-10.0000,0.0000,0.0454,-3.0000,3.0000,-10.0000,0.0000,0.0449,3.0000,-3.0000,-10.0000,0.0000,0.0464,-3.0000,-3.0000,-10.0000,0.0000,0.0483,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1000,0.0000,0.0000,-10.0000,0.0000,0.0781,0.0000,3.0000,-10.0000,0.0000,0.0828,0.0000,-3.0000,-10.0000,0.0000,0.0705,3.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0453,3.0000,3.0000,-10.0000,0.0000,0.0452,-3.0000,3.0000,-10.0000,0.0000,0.0452,3.0000,-3.0000,-10.0000,0.0000,0.0486,-3.0000,-3.0000,-10.0000,0.0000,0.0482,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1500,0.0000,0.0000,-10.0000,0.0000,0.0740,0.0000,3.0000,-10.0000,0.0000,0.0774,0.0000,-3.0000,-10.0000,0.0000,0.0688,3.0000,0.0000,-10.0000,0.0000,0.0452,-3.0000,0.0000,-10.0000,0.0000,0.0454,3.0000,3.0000,-10.0000,0.0000,0.0483,-3.0000,3.0000,-10.0000,0.0000,0.0460,3.0000,-3.0000,-10.0000,0.0000,0.0480,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2000,0.0000,0.0000,-10.0000,0.0000,0.0741,0.0000,3.0000,-10.0000,0.0000,0.0772,0.0000,-3.0000,-10.0000,0.0000,0.0682,3.0000,0.0000,-10.0000,0.0000,0.0470,-3.0000,0.0000,-10.0000,0.0000,0.0472,3.0000,3.0000,-10.0000,0.0000,0.0458,-3.0000,3.0000,-10.0000,0.0000,0.0445,3.0000,-3.0000,-10.0000,0.0000,0.0448,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2500,0.0000,0.0000,-10.0000,0.0000,0.0739,0.0000,3.0000,-10.0000,0.0000,0.0778,0.0000,-3.0000,-10.0000,0.0000,0.0711,3.0000,0.0000,-10.0000,0.0000,0.0473,-3.0000,0.0000,-10.0000,0.0000,0.0451,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0450,3.0000,-3.0000,-10.0000,0.0000,0.0449,-3.0000,-3.0000,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3000,0.0000,0.0000,-10.0000,0.0000,0.0741,0.0000,3.0000,-10.0000,0.0000,0.0808,0.0000,-3.0000,-10.0000,0.0000,0.0681,3.0000,0.0000,-10.0000,0.0000,0.0451,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0451,-3.0000,-3.0000,-10.0000,0.0000,0.0480,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3500,0.0000,0.0000,-10.0000,0.0000,0.0738,0.0000,3.0000,-10.0000,0.0000,0.0771,0.0000,-3.0000,-10.0000,0.0000,0.0684,3.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0451,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0446,3.0000,-3.0000,-10.0000,0.0000,0.0456,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4000,0.0000,0.0000,-10.0000,0.0000,0.0740,0.0000,3.0000,-10.0000,0.0000,0.0770,0.0000,-3.0000,-10.0000,0.0000,0.0682,3.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0454,3.0000,3.0000,-10.0000,0.0000,0.0455,-3.0000,3.0000,-10.0000,0.0000,0.0457,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4500,0.0000,0.0000,-10.0000,0.0000,0.0739,0.0000,3.0000,-10.0000,0.0000,0.0772,0.0000,-3.0000,-10.0000,0.0000,0.0682,3.0000,0.0000,-10.0000,0.0000,0.0475,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0454,-3.0000,3.0000,-10.0000,0.0000,0.0447,3.0000,-3.0000,-10.0000,0.0000,0.0448,-3.0000,-3.0000,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,3.0000
1.5000,0.0000,0.0000,-10.0000,0.0000,0.0739,0.0000,3.0000,-10.0000,0.0000,0.0769,0.0000,-3.0000,-10.0000,0.0000,0.0681,3.0000,0.0000,-10.0000,0.0000,0.0447,-3.0000,0.0000,-10.0000,0.0000,0.0456,3.0000,3.0000,-10.0000,0.0000,0.0453,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0452,-3.0000,-3.0000,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,3.0000
1.5500,0.0000,0.0000,-10.0000,0.0000,0.0763,0.0000,3.0000,-10.0000,0.0000,0.0773,0.0000,-3.0000,-10.0000,0.0000,0.0680,3.0000,0.0000,-10.0000,0.0000,0.0456,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0445,3.0000,-3.0000,-10.0000,0.0000,0.0453,-3.0000,-3.0000,-10.0000,0.0000,0.0480,0.0000,0.0000,-5.0000,0.0000,3.0000
1.6000,0.0000,0.0000,-10.0000,0.0000,0.0737,0.0000,3.0000,-10.0000,0.0000,0.0772,0.0000,-3.0000,-10.0000,0.0000,0.0685,3.0000,0.0000,-10.0000,0.0000,0.0447,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0449,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0452,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
1.6500,0.0000,0.0000,-10.0000,0.0000,0.0738,0.0000,3.0000,-10.0000,0.0000,0.0772,0.0000,-3.0000,-10.0000,0.0000,0.0681,3.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0450,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0448,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
1.7000,0.0000,0.0000,-10.0000,0.0000,0.0737,0.0000,3.0000,-10.0000,0.0000,0.0770,0.0000,-3.0000,-10.0000,0.0000,0.0681,3.0000,0.0000,-10.0000,0.0000,0.0475,-3.0000,0.0000,-10.0000,0.0000,0.0452,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0451,3.0000,-3.0000,-10.0000,0.0000,0.0453,-3.0000,-3.0000,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,3.0000
1.7500,0.0000,0.0000,-10.0000,0.0000,0.0745,0.0000,3.0000,-10.0000,0.0000,0.0783,0.0000,-3.0000,-10.0000,0.0000,0.0731,3.0000,0.0000,-10.0000,0.0000,0.0477,-3.0000,0.0000,-10.0000,0.0000,0.0451,3.0000,3.0000,-10.0000,0.0000,0.0456,-3.0000,3.0000,-10.0000,0.0000,0.0450,3.0000,-3.0000,-10.0000,0.0000,0.0451,-3.0000,-3.0000,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,3.0000
1.8000,0.0000,0.0000,-10.0000,0.0000,0.0784,0.0000,3.0000,-10.0000,0.0000,0.0828,0.0000,-3.0000,-10.0000,0.0000,0.0683,3.0000,0.0000,-10.0000,0.0000,0.0447,-3.0000,0.0000,-10.0000,0.0000,0.0448,3.0000,3.0000,-10.0000,0.0000,0.0454,-3.0000,3.0000,-10.0000,0.0000,0.0449,3.0000,-3.0000,-10.0000,0.0000,0.0449,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
1.8500,0.0000,0.0000,-10.0000,0.0000,0.0739,0.0000,3.0000,-10.0000,0.0000,0.0771,0.0000,-3.0000,-10.0000,0.0000,0.0680,3.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0447,3.0000,3.0000,-10.0000,0.0000,0.0453,-3.0000,3.0000,-10.0000,0.0000,0.0446,3.0000,-3.0000,-10.0000,0.0000,0.0452,-3.0000,-3.0000,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,3.0000
1.9000,0.0000,0.0000,-10.0000,0.0000,0.0739,0.0000,3.0000,-10.0000,0.0000,0.0769,0.0000,-3.0000,-10.0000,0.0000,0.0679,3.0000,0.0000,-10.0000,0.0000,0.0447,-3.0000,0.0000,-10.0000,0.0000,0.0476,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0444,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
1.9500,0.0000,0.0000,-10.0000,0.0000,0.0740,0.0000,3.0000,-10.0000,0.0000,0.0774,0.0000,-3.0000,-10.0000,0.0000,0.0683,3.0000,0.0000,-10.0000,0.0000,0.0470,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0445,3.0000,-3.0000,-10.0000,0.0000,0.0453,-3.0000,-3.0000,-10.0000,0.0000,0.0456,0.0000,0.0000,-5.0000,0.0000,3.0000
2.0000,0.0000,0.0000,-10.0000,0.0000,0.0738,0.0000,3.0000,-10.0000,0.0000,0.0803,0.0000,-3.0000,-10.0000,0.0000,0.0681,3.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0454,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0457,-3.0000,-3.0000,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,3.0000
2.0500,0.0000,0.0000,-10.0000,0.0000,0.0735,0.0000,3.0000,-10.0000,0.0000,0.0766,0.0000,-3.0000,-10.0000,0.0000,0.0682,3.0000,0.0000,-10.0000,0.0000,0.0450,-3.0000,0.0000,-10.0000,0.0000,0.0455,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0456,3.0000,-3.0000,-10.0000,0.0000,0.0474,-3.0000,-3.0000,-10.0000,0.0000,0.0468,0.0000,0.0000,-5.0000,0.0000,3.0000
2.1000,0.0000,0.0000,-10.0000,0.0000,0.0741,0.0000,3.0000,-10.0000,0.0000,0.0772,0.0000,-3.0000,-10.0000,0.0000,0.0682,3.0000,0.0000,-10.0000,0.0000,0.0450,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0464,-3.0000,3.0000,-10.0000,0.0000,0.0470,3.0000,-3.0000,-10.0000,0.0000,0.0443,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
